2. DATA POTENSI CEKUNGAN AIR TANAH LINTAS KABUPATEN/KOTA,,,,,
NO,NAMA CEKUNGAN AIR TANAH (CAT),LUAS (Km),WILAYAH ADMINISTRASI,POTENSI AIR TANAH (Juta M3/Tahun) BEBAS,POTENSI AIR TANAH (Juta M3/Tahun) TERTEKAN
1,CAT PEKALONGAN - PEMALANG,1681.6,PEKALONGAN PEMALANG BATANG KOTA PEKALONGAN.,1288.6,17.1
2,CAT LEBAKSIU,661.2,PEMALANG BREBES TEGAL,365.9,3.4
3,CAT PURWOKERTO - PURBALINGGA,1318.2,BANYUMAS PURBALINGGA BANJARNEGARA,502.6,9.7
4,CAT CILACAP,217.6,CILACAP BAYUMAS,43.2,-
5,CAT KROYA,422.8,CILACAP BANYUMAS KEBUMEN,65.1,-
6,CAT KEBUMEN - PURWOREJO,1126.6,KEBUMEN PURWOREJO,129.8,-
7,CAT SUBAH,874.2,BATANG  KENDAL  TEMANGGUNG,426.8,7.7
8,CAT KARANGKOBAR,316.4,BANJARNEGARA  WONOSOBO,152.9,4.2
9,CAT WONOSOBO,665.7,WONOSOBO  TEMANGGUNG  MAGELANG,210.1,7.6
10,CAT SEMARANG - DEMAK,1839.2,KOTA SEMARANG  DEMAK  KENDAL  GROBOGAN  BLORA  SEMARANG.,783.1,18.9
11,CAT UNGARAN,329.3,SEMARANG  KENDAL  KOTA SEMARANG,144.7,8.1
12,CAT SIDOMULYO,207.3,TEMANGGUNG  KENDAL  SEMARANG,41.6,-
13,CAT MAGELANG - TEMANGGUNG,1783,MAGELANG  TEMANGGUNG,871.6,13.9
14,CAT RAWAPENING,303.1,SEMARANG  KOTA SALATIGA,133.2,12.6
15,CAT SALATIGA,85.29,SEMARANG  KOTA SALATIGA  BOYOLALI,10.24,2.2
16,CAT KUDUS,1178,KUDUS  JEPARA  PATI  DEMAK,436.4,10.7
17,CAT PATI - REMBANG,1028,PATI  REMBANG,273.1,3.9
18,CAT WATUPUTIH,30.78,REMBANG  BLORA,3.2,-
19,CAT KARANGANYAR-BOYOLALI,3877,KARANGANYAR  BOYOLALI  KLATEN  SRAGEN  SUKOHARJO  KOTA SALATIGA.,1337.8,20.7
,,,JUMLAH,7219.94,140.7
